Nr,Datum,Zeit,Heim,Var.5,Gast,Tore,Punkte,Var.9,Var.10,season,team,league,place,points_won,points_lost
1,09.09.17,18:30,DJK Adler Königshof,NA,HC Wölfe Nordrhein,24:26,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
6,09.09.17,19:00,TV Rheinbach,NA,Bergischer Handball Club (BHC) II,27:24,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
7,09.09.17,19:45,Weidener TV,NA,TuSEM Essen II,29:28,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
2,09.09.17,20:00,SG Langenfeld,NA,TuS 82 Opladen,25:22,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
3,10.09.17,16:00,HSG Siebengebirge,NA,VfB Homberg,29:26,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
5,10.09.17,17:00,TV Jahn Köln-Wahn,NA,TSV Bonn rrh.,25:26,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
4,10.09.17,17:30,HSG Neuss/Düsseldorf II,NA,SG Ratingen 2011,23:28,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
13,16.09.17,18:00,SG Ratingen 2011,NA,TV Jahn Köln-Wahn,29:33,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
11,16.09.17,19:15,Bergischer Handball Club (BHC) II,NA,Weidener TV,27:24,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
15,16.09.17,19:15,TuS 82 Opladen,NA,HSG Siebengebirge,30:30,1:1,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
12,16.09.17,19:30,TSV Bonn rrh.,NA,TV Rheinbach,28:22,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
14,16.09.17,19:30,VfB Homberg,NA,HSG Neuss/Düsseldorf II,35:28,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
9,17.09.17,16:00,HC Wölfe Nordrhein,NA,TV Aldekerk,23:23,1:1,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
10,17.09.17,16:00,TuSEM Essen II,NA,DJK Adler Königshof,28:28,1:1,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
21,23.09.17,18:30,TV Jahn Köln-Wahn,NA,VfB Homberg,26:20,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
20,23.09.17,19:00,HSG Neuss/Düsseldorf II,NA,TuS 82 Opladen,29:30,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
22,23.09.17,19:00,TV Rheinbach,NA,SG Ratingen 2011,24:29,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
17,23.09.17,19:30,DJK Adler Königshof,NA,Bergischer Handball Club (BHC) II,29:22,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
24,23.09.17,19:30,TV Aldekerk,NA,SG Langenfeld,21:25,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
23,23.09.17,19:45,Weidener TV,NA,TSV Bonn rrh.,26:30,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
18,24.09.17,16:00,HC Wölfe Nordrhein,NA,TuSEM Essen II,34:34,1:1,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
28,30.09.17,18:00,SG Ratingen 2011,NA,Weidener TV,41:25,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
32,30.09.17,19:00,SG Langenfeld,NA,HSG Siebengebirge,27:26,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
26,30.09.17,19:15,Bergischer Handball Club (BHC) II,NA,HC Wölfe Nordrhein,20:31,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
30,30.09.17,19:15,TuS 82 Opladen,NA,TV Jahn Köln-Wahn,27:21,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
27,30.09.17,19:30,TSV Bonn rrh.,NA,DJK Adler Königshof,22:21,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
25,01.10.17,16:00,TuSEM Essen II,NA,TV Aldekerk,31:32,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
29,01.10.17,16:00,VfB Homberg,NA,TV Rheinbach,24:28,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
38,07.10.17,19:00,TV Rheinbach,NA,TuS 82 Opladen,25:20,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
40,07.10.17,19:30,TV Aldekerk,NA,HSG Siebengebirge,35:33,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
39,07.10.17,19:45,Weidener TV,NA,VfB Homberg,30:34,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
36,08.10.17,11:30,HSG Neuss/Düsseldorf II,NA,SG Langenfeld,26:23,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
34,08.10.17,16:00,HC Wölfe Nordrhein,NA,TSV Bonn rrh.,21:26,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
35,08.10.17,16:00,TuSEM Essen II,NA,Bergischer Handball Club (BHC) II,28:28,1:1,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
43,14.10.17,18:00,SG Ratingen 2011,NA,HC Wölfe Nordrhein,32:23,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
48,14.10.17,18:00,HSG Siebengebirge,NA,HSG Neuss/Düsseldorf II,29:27,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
41,14.10.17,19:00,Bergischer Handball Club (BHC) II,NA,TV Aldekerk,30:36,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
44,14.10.17,19:00,VfB Homberg,NA,DJK Adler Königshof,27:21,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
47,14.10.17,19:00,SG Langenfeld,NA,TV Jahn Köln-Wahn,37:24,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
45,14.10.17,19:15,TuS 82 Opladen,NA,Weidener TV,34:29,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
42,14.10.17,19:30,TSV Bonn rrh.,NA,TuSEM Essen II,29:26,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
50,21.10.17,18:00,HC Wölfe Nordrhein,NA,VfB Homberg,28:25,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
53,21.10.17,18:30,TV Jahn Köln-Wahn,NA,HSG Siebengebirge,28:22,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
54,21.10.17,19:00,TV Rheinbach,NA,SG Langenfeld,25:27,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
52,21.10.17,19:15,Bergischer Handball Club (BHC) II,NA,TSV Bonn rrh.,23:31,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
56,21.10.17,19:30,TV Aldekerk,NA,HSG Neuss/Düsseldorf II,28:32,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
49,22.10.17,16:00,DJK Adler Königshof,NA,TuS 82 Opladen,29:27,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
51,22.10.17,16:00,TuSEM Essen II,NA,SG Ratingen 2011,35:32,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
58,04.11.17,18:00,SG Ratingen 2011,NA,Bergischer Handball Club (BHC) II,37:27,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
63,04.11.17,18:00,HSG Siebengebirge,NA,TV Rheinbach,28:20,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
62,04.11.17,19:00,SG Langenfeld,NA,Weidener TV,37:25,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
60,04.11.17,19:15,TuS 82 Opladen,NA,HC Wölfe Nordrhein,30:26,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
57,04.11.17,19:30,TSV Bonn rrh.,NA,TV Aldekerk,35:17,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
64,05.11.17,14:45,HSG Neuss/Düsseldorf II,NA,TV Jahn Köln-Wahn,19:24,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
59,05.11.17,16:00,VfB Homberg,NA,TuSEM Essen II,22:20,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
67,10.11.17,20:00,TuSEM Essen II,NA,TuS 82 Opladen,30:30,1:1,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
72,10.11.17,20:00,TV Aldekerk,NA,TV Jahn Köln-Wahn,34:30,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
68,11.11.17,19:00,Bergischer Handball Club (BHC) II,NA,VfB Homberg,24:22,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
70,11.11.17,19:00,TV Rheinbach,NA,HSG Neuss/Düsseldorf II,23:20,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
65,11.11.17,19:30,DJK Adler Königshof,NA,SG Langenfeld,25:26,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
69,11.11.17,19:30,TSV Bonn rrh.,NA,SG Ratingen 2011,31:36,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
71,11.11.17,19:45,Weidener TV,NA,HSG Siebengebirge,25:27,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
79,18.11.17,17:15,HSG Neuss/Düsseldorf II,NA,Weidener TV,30:20,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
73,18.11.17,18:00,SG Ratingen 2011,NA,TV Aldekerk,31:30,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
78,18.11.17,18:00,HSG Siebengebirge,NA,DJK Adler Königshof,25:28,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
80,18.11.17,18:30,TV Jahn Köln-Wahn,NA,TV Rheinbach,21:26,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
77,18.11.17,19:00,SG Langenfeld,NA,HC Wölfe Nordrhein,30:25,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
75,18.11.17,19:15,TuS 82 Opladen,NA,Bergischer Handball Club (BHC) II,29:28,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
74,19.11.17,16:00,VfB Homberg,NA,TSV Bonn rrh.,26:26,1:1,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
86,25.11.17,18:00,SG Ratingen 2011,NA,VfB Homberg,20:27,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
85,25.11.17,19:30,TSV Bonn rrh.,NA,TuS 82 Opladen,29:26,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
88,25.11.17,19:30,TV Aldekerk,NA,TV Rheinbach,27:24,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
87,25.11.17,19:45,Weidener TV,NA,TV Jahn Köln-Wahn,22:18,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
82,26.11.17,18:00,HC Wölfe Nordrhein,NA,HSG Siebengebirge,29:32,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
83,26.11.17,20:00,TuSEM Essen II,NA,SG Langenfeld,21:28,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
105,01.12.17,20:00,TuS 82 Opladen,NA,TV Aldekerk,34:32,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
107,01.12.17,20:00,SG Langenfeld,NA,SG Ratingen 2011,31:28,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
111,01.12.17,20:15,TV Rheinbach,NA,HC Wölfe Nordrhein,28:23,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
94,09.12.17,16:00,HSG Neuss/Düsseldorf II,NA,HC Wölfe Nordrhein,22:26,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
95,09.12.17,16:00,TV Jahn Köln-Wahn,NA,DJK Adler Königshof,27:27,1:1,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
93,09.12.17,18:00,HSG Siebengebirge,NA,TuSEM Essen II,38:29,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
89,09.12.17,19:00,VfB Homberg,NA,TV Aldekerk,24:30,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
92,09.12.17,19:00,SG Langenfeld,NA,Bergischer Handball Club (BHC) II,31:27,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
96,09.12.17,19:00,TV Rheinbach,NA,Weidener TV,34:27,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
90,09.12.17,19:15,TuS 82 Opladen,NA,SG Ratingen 2011,37:33,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
133,13.12.17,20:00,TV Jahn Köln-Wahn,NA,SG Ratingen 2011,28:32,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
98,16.12.17,17:45,HC Wölfe Nordrhein,NA,TV Jahn Köln-Wahn,27:27,1:1,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
99,16.12.17,18:00,TuSEM Essen II,NA,HSG Neuss/Düsseldorf II,27:23,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
103,16.12.17,18:00,VfB Homberg,NA,TuS 82 Opladen,25:33,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
104,16.12.17,19:00,TV Aldekerk,NA,Weidener TV,36:26,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
97,16.12.17,19:30,DJK Adler Königshof,NA,TV Rheinbach,24:22,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
101,16.12.17,19:30,TSV Bonn rrh.,NA,SG Langenfeld,31:25,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
100,17.12.17,10:45,Bergischer Handball Club (BHC) II,NA,HSG Siebengebirge,28:32,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
33,19.12.17,20:00,DJK Adler Königshof,NA,SG Ratingen 2011,23:24,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
110,06.01.18,18:30,TV Jahn Köln-Wahn,NA,TuSEM Essen II,32:24,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
112,06.01.18,19:45,Weidener TV,NA,DJK Adler Königshof,23:28,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
108,07.01.18,16:00,HSG Siebengebirge,NA,TSV Bonn rrh.,30:32,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
113,12.01.18,20:00,DJK Adler Königshof,NA,TV Aldekerk,27:25,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
115,12.01.18,20:00,TuSEM Essen II,NA,TV Rheinbach,29:27,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
116,13.01.18,19:00,Bergischer Handball Club (BHC) II,NA,TV Jahn Köln-Wahn,21:24,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
119,13.01.18,19:00,VfB Homberg,NA,SG Langenfeld,29:29,1:1,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
117,13.01.18,19:30,TSV Bonn rrh.,NA,HSG Neuss/Düsseldorf II,23:24,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
114,14.01.18,16:00,HC Wölfe Nordrhein,NA,Weidener TV,26:18,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
81,19.01.18,20:15,DJK Adler Königshof,NA,HSG Neuss/Düsseldorf II,23:23,1:1,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
126,20.01.18,19:00,Bergischer Handball Club (BHC) II,NA,TV Rheinbach,30:23,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
122,20.01.18,19:15,TuS 82 Opladen,NA,SG Langenfeld,34:35,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
125,20.01.18,19:30,TSV Bonn rrh.,NA,TV Jahn Köln-Wahn,38:28,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
121,21.01.18,16:00,HC Wölfe Nordrhein,NA,DJK Adler Königshof,19:15,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
123,21.01.18,16:00,VfB Homberg,NA,HSG Siebengebirge,30:21,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
127,21.01.18,16:00,TuSEM Essen II,NA,Weidener TV,30:28,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
135,27.01.18,18:00,HSG Siebengebirge,NA,TuS 82 Opladen,23:21,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
134,27.01.18,18:30,HSG Neuss/Düsseldorf II,NA,VfB Homberg,25:29,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
132,27.01.18,19:00,TV Rheinbach,NA,TSV Bonn rrh.,15:16,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
129,27.01.18,19:30,TV Aldekerk,NA,HC Wölfe Nordrhein,26:29,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
130,27.01.18,19:30,DJK Adler Königshof,NA,TuSEM Essen II,33:30,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
131,27.01.18,19:45,Weidener TV,NA,Bergischer Handball Club (BHC) II,26:30,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
124,31.01.18,20:00,SG Ratingen 2011,NA,HSG Neuss/Düsseldorf II,27:24,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
142,03.02.18,18:00,SG Ratingen 2011,NA,TV Rheinbach,30:27,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
137,03.02.18,19:00,Bergischer Handball Club (BHC) II,NA,DJK Adler Königshof,27:28,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
144,03.02.18,19:00,SG Langenfeld,NA,TV Aldekerk,30:28,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
143,03.02.18,19:30,TSV Bonn rrh.,NA,Weidener TV,30:23,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
138,04.02.18,16:00,TuSEM Essen II,NA,HC Wölfe Nordrhein,30:26,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
141,04.02.18,16:00,VfB Homberg,NA,TV Jahn Köln-Wahn,22:23,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
118,07.02.18,20:15,SG Ratingen 2011,NA,HSG Siebengebirge,25:28,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
109,16.02.18,20:00,HSG Neuss/Düsseldorf II,NA,Bergischer Handball Club (BHC) II,28:29,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
152,17.02.18,18:00,HSG Siebengebirge,NA,SG Langenfeld,21:22,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
150,17.02.18,18:30,TV Jahn Köln-Wahn,NA,TuS 82 Opladen,21:21,1:1,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
149,17.02.18,19:00,TV Rheinbach,NA,VfB Homberg,18:19,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
145,17.02.18,19:30,TV Aldekerk,NA,TuSEM Essen II,29:32,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
147,17.02.18,19:30,DJK Adler Königshof,NA,TSV Bonn rrh.,22:22,1:1,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
148,17.02.18,19:45,Weidener TV,NA,SG Ratingen 2011,21:29,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
146,18.02.18,16:00,HC Wölfe Nordrhein,NA,Bergischer Handball Club (BHC) II,25:28,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
155,24.02.18,16:30,Bergischer Handball Club (BHC) II,NA,TuSEM Essen II,26:32,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
153,24.02.18,18:00,SG Ratingen 2011,NA,DJK Adler Königshof,34:26,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
160,24.02.18,18:00,HSG Siebengebirge,NA,TV Aldekerk,40:30,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
156,24.02.18,19:00,SG Langenfeld,NA,HSG Neuss/Düsseldorf II,23:35,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
158,24.02.18,19:15,TuS 82 Opladen,NA,TV Rheinbach,20:18,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
154,24.02.18,19:30,TSV Bonn rrh.,NA,HC Wölfe Nordrhein,26:25,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
159,25.02.18,16:00,VfB Homberg,NA,Weidener TV,30:22,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
164,02.03.18,20:00,DJK Adler Königshof,NA,VfB Homberg,25:22,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
167,03.03.18,18:30,TV Jahn Köln-Wahn,NA,SG Langenfeld,26:35,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
161,03.03.18,19:30,TV Aldekerk,NA,Bergischer Handball Club (BHC) II,26:22,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
165,03.03.18,19:45,Weidener TV,NA,TuS 82 Opladen,24:29,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
168,04.03.18,14:45,HSG Neuss/Düsseldorf II,NA,HSG Siebengebirge,26:34,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
162,04.03.18,16:00,TuSEM Essen II,NA,TSV Bonn rrh.,28:24,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
163,04.03.18,16:00,HC Wölfe Nordrhein,NA,SG Ratingen 2011,27:28,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
170,09.03.18,20:00,VfB Homberg,NA,HC Wölfe Nordrhein,23:21,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
171,10.03.18,18:00,SG Ratingen 2011,NA,TuSEM Essen II,36:26,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
173,10.03.18,18:00,HSG Siebengebirge,NA,TV Jahn Köln-Wahn,23:27,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
176,10.03.18,18:30,HSG Neuss/Düsseldorf II,NA,TV Aldekerk,24:27,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
174,10.03.18,19:00,SG Langenfeld,NA,TV Rheinbach,31:27,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
169,10.03.18,19:15,TuS 82 Opladen,NA,DJK Adler Königshof,23:23,1:1,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
172,10.03.18,19:30,TSV Bonn rrh.,NA,Bergischer Handball Club (BHC) II,43:31,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
140,14.03.18,20:00,TuS 82 Opladen,NA,HSG Neuss/Düsseldorf II,35:32,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
184,17.03.18,18:30,TV Jahn Köln-Wahn,NA,HSG Neuss/Düsseldorf II,22:19,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
183,17.03.18,19:00,TV Rheinbach,NA,HSG Siebengebirge,25:26,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
177,17.03.18,19:30,TV Aldekerk,NA,TSV Bonn rrh.,26:26,1:1,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
182,17.03.18,19:45,Weidener TV,NA,SG Langenfeld,25:41,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
179,18.03.18,16:00,TuSEM Essen II,NA,VfB Homberg,27:31,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
180,18.03.18,16:00,HC Wölfe Nordrhein,NA,TuS 82 Opladen,27:25,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
178,18.03.18,17:00,Bergischer Handball Club (BHC) II,NA,SG Ratingen 2011,26:26,1:1,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
189,24.03.18,18:00,SG Ratingen 2011,NA,TSV Bonn rrh.,34:29,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
191,24.03.18,18:00,HSG Siebengebirge,NA,Weidener TV,28:20,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
192,24.03.18,18:30,TV Jahn Köln-Wahn,NA,TV Aldekerk,22:21,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
185,24.03.18,19:00,SG Langenfeld,NA,DJK Adler Königshof,28:27,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
187,24.03.18,19:15,TuS 82 Opladen,NA,TuSEM Essen II,26:17,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
188,25.03.18,16:00,VfB Homberg,NA,Bergischer Handball Club (BHC) II,27:30,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
190,25.03.18,18:15,HSG Neuss/Düsseldorf II,NA,TV Rheinbach,25:22,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
198,07.04.18,18:30,DJK Adler Königshof,NA,HSG Siebengebirge,21:29,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
193,07.04.18,19:00,TV Aldekerk,NA,SG Ratingen 2011,26:29,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
200,07.04.18,19:00,TV Rheinbach,NA,TV Jahn Köln-Wahn,22:28,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
194,07.04.18,19:30,TSV Bonn rrh.,NA,VfB Homberg,32:30,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
199,07.04.18,19:45,Weidener TV,NA,HSG Neuss/Düsseldorf II,21:22,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
197,08.04.18,16:00,HC Wölfe Nordrhein,NA,SG Langenfeld,25:25,1:1,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
7,17.09.16,18:30,VfB Homberg,NA,Borussia M´gladbach,28:26,2:0,NA,NA,2016/2017,1. Herren,Nordrheinliga,4,34,18
4,17.09.16,19:00,HSG Rheinbach-Wormersdorf,NA,TV Jahn Köln-Wahn,22:21,2:0,NA,NA,2016/2017,1. Herren,Nordrheinliga,4,34,18
